text,label,entities
set reminder failed,set_reminder_error,{}
couldn't set reminder,set_reminder_error,{}
let's chat with the AI,start_chat_with_llm,
I want to talk to the language model,start_chat_with_llm,{}
start a conversation with the AI,start_chat_with_llm,{}
open chat with AI,start_chat_with_llm,{}
begin chat session,start_chat_with_llm,{}
Schedule a project sync for next Monday at 10am,add_calendar_event,"{""subject"": ""project sync"", ""time_phrase"": ""next Monday at 10am""}"
Add dentist appointment on July 5th 2pm to my calendar,add_calendar_event,"{""subject"": ""dentist appointment"", ""time_phrase"": ""July 5th 2pm""}"
Put weekly review in my calendar for Friday at 4,add_calendar_event,"{""subject"": ""weekly review"", ""time_phrase"": ""Friday at 4""}"
I want to add an event: team lunch this Wednesday at 1pm,add_calendar_event,"{""subject"": ""team lunch"", ""time_phrase"": ""this Wednesday at 1pm""}"
Can you add a meeting with marketing team on the 10th of August at three thirty pm?,add_calendar_event,"{""subject"": ""meeting with marketing team"", ""time_phrase"": ""the 10th of August at three thirty pm""}"
Book a slot for code review tomorrow morning 9am,add_calendar_event,"{""subject"": ""code review"", ""time_phrase"": ""tomorrow morning 9am""}"
Add reminder to prepare slides for presentation next week,set_reminder,"{""subject"": ""prepare slides for presentation"", ""time_phrase"": ""next week""}"
Remind me about the quarterly budget meeting Tuesday morning,set_reminder,"{""subject"": ""quarterly budget meeting"", ""time_phrase"": ""Tuesday morning""}"
I need to set a reminder to follow up with client X in two days,set_reminder,"{""subject"": ""follow up with client X"", ""contact_name"": ""client X"", ""time_phrase"": ""in two days""}"
Set a reminder: pick up prescription at 3pm today,set_reminder,"{""subject"": ""pick up prescription"", ""time_phrase"": ""3pm today""}"
Remind me to call the garage this afternoon,set_reminder,"{""subject"": ""call the garage"", ""time_phrase"": ""this afternoon""}"
What's the weather in San Francisco tomorrow?,get_weather,"{""location"": ""San Francisco"", ""date_reference"": ""tomorrow""}"
Tell me the weather forecast for London next Sunday,get_weather,"{""location"": ""London"", ""date_reference"": ""next Sunday""}"
Is it going to rain in my current location the day after tomorrow?,get_weather,"{""location"": ""current"", ""date_reference"": ""the day after tomorrow""}"
Weather for Paris on the 15th,get_weather,"{""location"": ""Paris"", ""date_reference"": ""the 15th""}"
Show my reminders for the day after tomorrow,list_reminders,"{""date_reference"": ""the day after tomorrow""}"
List all reminders for next month,list_reminders,"{""date_reference"": ""next month""}"
Are there any reminders for August 10th?,list_reminders,"{""date_reference"": ""August 10th""}"
Add an event called Birthday Party for Mike on August 22nd at 7 PM,add_calendar_event,"{""subject"": ""Birthday Party for Mike"", ""contact_name"": ""Mike"", ""time_phrase"": ""August 22nd at 7 PM""}"
Schedule a 1-hour meeting with Dr. Smith next Monday at 10 AM,add_calendar_event,"{""subject"": ""meeting with Dr. Smith"", ""contact_name"": ""Dr. Smith"", ""time_phrase"": ""next Monday at 10 AM"", ""duration"": ""1-hour""}"
Remind me to buy milk and eggs,set_reminder,"{""subject"": ""buy milk and eggs""}"
Add apples to my shopping list,shopping_add,"{""item_to_add"": ""apples""}"
Add bread and cheese to shopping,shopping_add,"{""item_to_add"": ""bread and cheese""}"
What is the weather like in New York City next Friday?,get_weather,"{""location"": ""New York City"", ""date_reference"": ""next Friday""}"
Set an alarm for tomorrow at 6 AM to go for a run,set_reminder,"{""subject"": ""go for a run"", ""time_phrase"": ""tomorrow at 6 AM""}"
Plan a yoga session for Wednesday evening for 45 minutes,add_calendar_event,"{""subject"": ""yoga session"", ""time_phrase"": ""Wednesday evening"", ""duration"": ""45 minutes""}"
Confirm dinner with Sarah for Saturday night,add_calendar_event,"{""subject"": ""Confirm dinner with Sarah"", ""contact_name"": ""Sarah"", ""time_phrase"": ""Saturday night""}"
Book flight to Tokyo for next month,add_calendar_event,"{""subject"": ""Book flight to Tokyo"", ""location"": ""Tokyo"", ""time_phrase"": ""next month""}"
Remind me to check emails in 15 minutes,set_reminder,"{""subject"": ""check emails"", ""time_phrase"": ""in 15 minutes"", ""duration"": ""15 minutes""}"
Add a calendar event to discuss budget with finance team on Sep 10th at 2 PM,add_calendar_event,"{""subject"": ""discuss budget with finance team"", ""contact_name"": ""finance team"", ""time_phrase"": ""Sep 10th at 2 PM""}"
What are my reminders for this weekend?,list_reminders,"{""date_reference"": ""this weekend""}"
Weather forecast for my current city for the next 3 days,get_weather,"{""location"": ""current"", ""date_reference"": ""next 3 days"", ""duration"": ""3 days""}"
Get weather for Boston for this evening,get_weather,"{""location"": ""Boston"", ""time_phrase"": ""this evening""}"
Stop the LLM,stop_ollama_llm, {}
Stop Ollama,stop_ollama_llm, {}
End the AI session,stop_ollama_llm, {}
Shut down the language model,stop_ollama_llm, {}
Please stop the LLM,stop_ollama_llm, {}
